state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
az,gila county,1,53335.0,47.9,39954.0,50.31967751007781,22.366176056998217,0.0,1.8749414080809974e-05
az,graham county,3,37168.0,31.9,44943.0,46.25753336203186,20.609126130004306,0.02959535083943177,8.071459319845028e-05
az,la paz county,1,20408.0,53.8,35776.0,49.51489611916895,26.28871030968248,0.0,4.9000392003136025e-05
az,maricopa county,111,3889161.0,35.0,53596.0,50.5227991332835,14.940497449192769,0.1218514738782992,2.854086009810342e-05
az,mohave county,9,201680.0,48.0,39200.0,49.726794922649745,25.319317731059105,0.02875842919476398,4.4625148750495835e-05
az,navajo county,2,107326.0,35.2,36927.0,49.944095559323934,17.29310698246464,0.02515699830423197,1.8634813558690344e-05
az,pima county,21,986891.0,37.8,45841.0,50.81361568805471,14.977439251143238,0.5052229678860178,2.1278945699170424e-05
az,pinal county,17,379128.0,36.1,50027.0,47.714228439999154,19.549070498617883,0.05407144816526344,4.4839737502901396e-05
az,santa cruz county,4,47122.0,35.7,37745.0,51.98633334748101,17.038750477483976,0.0,8.488604049064132e-05
az,yavapai county,12,211968.0,50.1,42987.0,51.05393266908212,19.34207050120773,0.05142285628019324,5.661231884057971e-05
az,yuma county,3,199026.0,33.4,41595.0,49.29506697617397,15.445720659612311,1.939947544541919,1.5073407494498207e-05
ca,alameda county,18,1535248.0,36.8,72112.0,50.96297145477473,13.022651714902086,0.10988452679957895,1.1724490114952112e-05
ca,butte county,3,220542.0,37.0,43752.0,50.48562178632642,14.736422087402854,0.13240108460066563,1.3602851157602634e-05
ca,contra costa county,21,1065794.0,38.6,78756.0,51.18944186212345,12.909718013049426,0.05685901778392447,1.9703620024132243e-05
ca,el dorado county,6,180982.0,44.1,69297.0,49.95303400338155,15.391033362433834,0.042545667524947234,3.315246820125759e-05
ca,fresno county,18,939605.0,30.9,45563.0,50.06369697904971,13.313573256847292,0.07907578184449848,1.9156986180363026e-05
ca,humboldt county,3,134613.0,37.5,41426.0,49.888198019507776,17.281391841798342,0.10177323141152786,2.228610906821778e-05
