state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county
nc,light,300,5 minutes,35.7452778,-81.685,10,12,20:20,2013,morganton,burke county
oh,formation,1200,20 minutes,39.3994444,-84.56138890000001,10,12,20:40,2013,hamilton,butler county
tx,triangle,60,1 minute,30.2669444,-97.7427778,10,12,20:55,2013,austin,travis county
oh,light,600,10 minutes,39.5588889,-84.3041667,10,12,21:00,2013,franklin,warren county
oh,fireball,120,1-2 minutes,39.3994444,-84.56138890000001,10,12,21:00,2013,hamilton,butler county
oh,unknown,60,<1 minute,39.5522222,-84.2333333,10,12,21:00,2013,springboro,warren county
oh,light,60,~1 minute,39.0875000,-81.92277779999999,10,12,21:00,2013,west chester,butler county
oh,fireball,600,10 minutes,39.6427778,-84.2866667,10,12,21:15,2013,miamisburg,montgomery county
il,formation,180,3 minutes,40.6936111,-89.58888890000001,10,12,21:15,2013,peoria,peoria county
oh,unknown,30,30 seconds,39.5522222,-84.2333333,10,12,21:45,2013,springboro,warren county
co,formation,30,15-30 seconds,39.1911111,-106.81694440000001,10,12,22:00,2013,aspen,pitkin county
co,light,15,15 seconds,39.0638889,-108.55,10,12,22:00,2013,grand junction,mesa county
oh,diamond,180,3 minutes,40.0333333,-83.1583333,10,12,22:05,2013,hilliard,franklin county
ga,circle,900,15 minutes,34.9491667,-83.7575,10,12,22:26,2013,hiawassee,towns county
il,other,120,2 minutes,41.8800000,-88.0077778,10,12,22:30,2013,lombard,dupage county
sc,circle,20,20 seconds,34.5033333,-82.6502778,10,12,23:00,2013,anderson,anderson county
ca,fireball,600,10 minutes,38.6786111,-121.2247222,10,12,23:28,2013,orangevale,sacramento county
oh,fireball,300,3-5 minutes,39.1619444,-84.4569444,10,12,24:00,2013,cincinnati,hamilton county
ca,sphere,60,1 minute,38.6786111,-121.2247222,10,12,24:00,2013,orangevale,sacramento county
mn,sphere,120,several minutes,44.8408333,-93.2980556,10,13,00:00,2013,bloomington,hennepin county
ut,unknown,5,5 seconds,40.7608333,-111.89027779999999,10,13,02:59,2013,salt lake city,salt lake county
tx,circle,10800,3 hours,33.0011111,-97.4841667,10,13,05:01,2013,newark,wise county
ia,formation,480,8 minutes,41.2619444,-95.8608333,10,13,18:57,2013,council bluffs,pottawattamie county
ia,light,480,8 minutes,41.2619444,-95.8608333,10,13,18:57,2013,council bluffs,pottawattamie county
ny,fireball,600,10 minutes,43.2133333,-77.58,10,13,19:00,2013,irondequoit,monroe county
nj,light,1800,30+ minutes,40.7705556,-74.2330556,10,13,19:00,2013,orange,essex county
il,circle,600,10 minutes,41.6827778,-88.3513889,10,13,19:30,2013,oswego,kendall county
pa,fireball,180,2-3 minutes,40.2141667,-77.0088889,10,13,19:40,2013,mechanicsburg,cumberland county
md,circle,60,1 minute,39.1072222,-76.5713889,10,13,19:45,2013,pasadena,anne arundel county
fl,diamond,300,4-5 minutes,28.5555556,-82.4505556,10,13,19:45,2013,spring hill,hernando county
wa,flash,900,8-15 minutes,47.6588889,-117.425,10,13,19:47,2013,spokane,spokane county
fl,light,25,20-25 seconds,26.7052778,-80.0366667,10,13,19:47,2013,west palm beach,palm beach county
fl,unknown,900,15 minutes,28.8002778,-81.2733333,10,13,20:00,2013,sanford,seminole county
fl,sphere,2700,45 minutes,28.6647222,-82.1130556,10,13,20:30,2013,bushnell,sumter county
oh,unknown,600,10 minutes,40.3347222,-83.4658333,10,13,20:30,2013,raymond,union county
in,circle,1200,20 minutes,39.7683333,-86.1580556,10,13,20:40,2013,indianapolis,marion county
mi,unknown,180,3 minutes,42.3608333,-85.8794444,10,13,20:45,2013,gobles,van buren county
wa,light,2640,5:44 minutes,47.6447222,-122.6936111,10,13,20:59,2013,silverdale,kitsap county
mi,triangle,55,45-55 seconds,42.3683333,-83.3527778,10,13,21:15,2013,livonia,wayne county
