state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county,Unemployment_rate_2013,Median_Household_Income_2018
tx,unknown,17.0,recorded 17 seconds,30.2669444,-97.7427778,10,12,03:08,2013,austin,travis county,5.0,"76,255"
ny,light,7200.0,2 hours,43.0280556,-73.3816667,10,12,04:30,2013,cambridge,washington county,7.5,"55,913"
oh,triangle,300.0,5 minutes,41.3144444,-81.8358333,10,12,07:17,2013,strongsville,cuyahoga county,7.0,"50,006"
mo,fireball,60.0,1 minute,38.2205556,-90.39583329999999,10,12,07:45,2013,festus,jefferson county,6.8,"65,150"
ny,disk,120.0,2 minutes,42.1033333,-76.2625,10,12,13:00,2013,owego,tioga county,7.1,"60,309"
ak,other,300.0,5 minutes,57.79,-152.40722219999995,10,12,14:35,2013,kodiak,kodiak island borough,6.2,"74,109"
mo,formation,900.0,15+ minutes,38.6272222,-90.1977778,10,12,15:00,2013,st. louis,st. louis city,8.4,"43,263"
mi,triangle,1800.0,30 minutes,42.7358333,-83.41888890000001,10,12,18:30,2013,clarkston,oakland county,7.8,"80,319"
oh,changing,180.0,2.5-3 minutes,39.9611111,-82.99888890000003,10,12,19:45,2013,columbus,franklin county,6.4,"60,383"
pa,other,120.0,2 minutes,40.2522222,-80.0030556,10,12,20:00,2013,finleyville,washington county,6.9,"63,119"
oh,formation,600.0,10 minutes,40.7425,-84.1052778,10,12,20:00,2013,lima,allen county,7.8,"50,301"
in,light,30.0,30 seconds,41.215,-86.7758333,10,12,20:00,2013,north judson,starke county,9.5,"49,972"
va,triangle,900.0,15 minutes,36.72805560000001,-76.5838889,10,12,20:00,2013,suffolk,suffolk city,6.3,"69,753"
nc,light,300.0,5 minutes,35.7452778,-81.685,10,12,20:20,2013,morganton,burke county,8.3,"44,946"
oh,formation,1200.0,20 minutes,39.39944439999999,-84.56138890000003,10,12,20:40,2013,hamilton,butler county,7.5,"61,053"
tx,triangle,60.0,1 minute,30.2669444,-97.7427778,10,12,20:55,2013,austin,travis county,5.0,"76,255"
oh,light,600.0,10 minutes,39.5588889,-84.3041667,10,12,21:00,2013,franklin,warren county,6.4,"87,391"
oh,fireball,120.0,1-2 minutes,39.39944439999999,-84.56138890000003,10,12,21:00,2013,hamilton,butler county,7.5,"61,053"
oh,unknown,60.0,<1 minute,39.5522222,-84.2333333,10,12,21:00,2013,springboro,warren county,6.4,"87,391"
oh,light,60.0,~1 minute,39.0875,-81.92277779999998,10,12,21:00,2013,west chester,butler county,7.5,"61,053"
oh,fireball,600.0,10 minutes,39.6427778,-84.2866667,10,12,21:15,2013,miamisburg,montgomery county,8.3,"51,071"
il,formation,180.0,3 minutes,40.69361110000001,-89.58888890000001,10,12,21:15,2013,peoria,peoria county,9.6,"56,478"
oh,unknown,30.0,30 seconds,39.5522222,-84.2333333,10,12,21:45,2013,springboro,warren county,6.4,"87,391"
co,formation,30.0,15-30 seconds,39.1911111,-106.81694440000001,10,12,22:00,2013,aspen,pitkin county,6.5,"89,034"
co,light,15.0,15 seconds,39.0638889,-108.55,10,12,22:00,2013,grand junction,mesa county,8.7,"51,132"
oh,diamond,180.0,3 minutes,40.0333333,-83.1583333,10,12,22:05,2013,hilliard,franklin county,6.4,"60,383"
ga,circle,900.0,15 minutes,34.9491667,-83.7575,10,12,22:26,2013,hiawassee,towns county,10.6,"45,853"
il,other,120.0,2 minutes,41.88,-88.0077778,10,12,22:30,2013,lombard,dupage county,7.4,"93,540"
sc,circle,20.0,20 seconds,34.5033333,-82.6502778,10,12,23:00,2013,anderson,anderson county,7.1,"51,740"
ca,fireball,600.0,10 minutes,38.67861110000001,-121.2247222,10,12,23:28,2013,orangevale,sacramento county,8.9,"69,475"
oh,fireball,300.0,3-5 minutes,39.1619444,-84.4569444,10,12,24:00,2013,cincinnati,hamilton county,7.3,"57,300"
ca,sphere,60.0,1 minute,38.67861110000001,-121.2247222,10,12,24:00,2013,orangevale,sacramento county,8.9,"69,475"
mn,sphere,120.0,several minutes,44.8408333,-93.2980556,10,13,00:00,2013,bloomington,hennepin county,4.6,"76,067"
ut,unknown,5.0,5 seconds,40.7608333,-111.89027779999999,10,13,02:59,2013,salt lake city,salt lake county,4.4,"73,619"
tx,circle,10800.0,3 hours,33.0011111,-97.4841667,10,13,05:01,2013,newark,wise county,6.0,"66,387"
ia,formation,480.0,8 minutes,41.2619444,-95.8608333,10,13,18:57,2013,council bluffs,pottawattamie county,4.6,"56,337"
ia,light,480.0,8 minutes,41.2619444,-95.8608333,10,13,18:57,2013,council bluffs,pottawattamie county,4.6,"56,337"
ny,fireball,600.0,10 minutes,43.2133333,-77.58,10,13,19:00,2013,irondequoit,monroe county,7.0,"60,240"
nj,light,1800.0,30+ minutes,40.7705556,-74.2330556,10,13,19:00,2013,orange,essex county,9.7,"62,875"
il,circle,600.0,10 minutes,41.6827778,-88.3513889,10,13,19:30,2013,oswego,kendall county,8.4,"93,345"
pa,fireball,180.0,2-3 minutes,40.2141667,-77.0088889,10,13,19:40,2013,mechanicsburg,cumberland county,5.7,"71,695"
md,circle,60.0,1 minute,39.1072222,-76.5713889,10,13,19:45,2013,pasadena,anne arundel county,5.7,"97,051"
fl,diamond,300.0,4-5 minutes,28.555555600000005,-82.4505556,10,13,19:45,2013,spring hill,hernando county,9.0,"45,884"
wa,flash,900.0,8-15 minutes,47.6588889,-117.425,10,13,19:47,2013,spokane,spokane county,8.2,"59,408"
fl,light,25.0,20-25 seconds,26.7052778,-80.0366667,10,13,19:47,2013,west palm beach,palm beach county,7.1,"61,735"
fl,unknown,900.0,15 minutes,28.8002778,-81.2733333,10,13,20:00,2013,sanford,seminole county,6.7,"67,187"
fl,sphere,2700.0,45 minutes,28.6647222,-82.1130556,10,13,20:30,2013,bushnell,sumter county,9.3,"55,324"
oh,unknown,600.0,10 minutes,40.3347222,-83.4658333,10,13,20:30,2013,raymond,union county,5.8,"84,861"
in,circle,1200.0,20 minutes,39.7683333,-86.1580556,10,13,20:40,2013,indianapolis,marion county,8.5,"48,409"
mi,unknown,180.0,3 minutes,42.3608333,-85.8794444,10,13,20:45,2013,gobles,van buren county,10.1,"57,363"
wa,light,2640.0,5:44 minutes,47.6447222,-122.6936111,10,13,20:59,2013,silverdale,kitsap county,7.2,"76,530"
mi,triangle,55.0,45-55 seconds,42.3683333,-83.3527778,10,13,21:15,2013,livonia,wayne county,11.5,"46,440"
pa,light,180.0,3 minutes,40.24305560000001,-79.23777779999998,10,13,21:45,2013,ligonier,westmoreland county,7.0,"58,398"
ms,light,240.0,3-4 minutes,34.9577778,-90.1516667,10,13,22:00,2013,walls,desoto county,5.9,"68,126"
in,changing,60.0,1 minute,39.9555556,-86.01388890000001,10,13,22:50,2013,fishers,hamilton county,5.0,"101,740"
ny,sphere,420.0,7 minutes,40.7141667,-74.0063889,10,13,22:55,2013,new york city,new york county,7.5,"84,610"
mi,sphere,3.0,1-3 seconds,42.4775,-83.0277778,10,13,23:00,2013,warren,macomb county,9.5,"62,191"
ia,circle,300.0,5 minutes,43.1811111,-95.8558333,10,13,23:30,2013,sheldon,o'brien county,3.6,"53,147"
nj,circle,60.0,1 minute,39.8397222,-74.1905556,10,14,00:35,2013,forked river,ocean county,9.3,"68,483"
nm,flash,2700.0,30-45 minutes,35.084444399999995,-106.65055559999999,10,14,01:40,2013,albuquerque,bernalillo county,6.5,"51,372"
nh,cylinder,60.0,<1 minute,42.9375,-70.8394444,10,14,11:47,2013,hampton,rockingham county,5.4,"93,645"
pa,rectangle,600.0,10 minutes,40.3236111,-75.0602778,10,14,16:00,2013,buckingham,bucks county,6.6,"88,538"
nc,sphere,240.0,4 minutes,35.226944399999994,-80.8433333,10,14,16:45,2013,charlotte,mecklenburg county,7.5,"64,509"
il,cigar,240.0,4 minutes,42.21944439999999,-87.9794444,10,14,18:00,2013,vernon hills,lake county,7.9,"87,336"
or,light,900.0,15 minutes,45.9933333,-123.9213889,10,14,19:00,2013,seaside,clatsop county,7.8,"53,806"
ca,light,300.0,5 minutes,37.8044444,-122.2697222,10,14,19:15,2013,oakland,alameda county,7.2,"101,744"
wi,light,180.0,3 minutes,44.5191667,-88.0197222,10,14,19:30,2013,green bay,brown county,6.2,"62,097"
la,sphere,900.0,15 minutes,32.523055600000006,-92.6377778,10,14,19:30,2013,ruston,lincoln parish,7.8,"36,525"
mi,disk,120.0,2 minutes,45.023055600000006,-85.75972220000001,10,14,20:00,2013,leland,leelanau county,7.7,"67,349"
nj,circle,300.0,5 minutes,39.54,-74.2572222,10,14,20:15,2013,holgate,ocean county,9.3,"68,483"
mi,circle,300.0,5 minutes,42.2916667,-85.58722220000001,10,14,20:30,2013,kalamazoo,kalamazoo county,6.9,"55,881"
ca,triangle,900.0,15 minutes,38.9088889,-123.69194440000001,10,14,20:30,2013,point arena,mendocino county,8.4,"51,386"
oh,circle,45.0,45 seconds,41.2375,-80.8186111,10,14,23:00,2013,warren,trumbull county,9.4,"47,424"
ca,other,120.0,2 minutes,37.5483333,-121.9875,10,15,06:20,2013,fremont,alameda county,7.2,"101,744"
pa,triangle,600.0,10 minutes,41.2058333,-76.0663889,10,15,09:15,2013,hunlock creek,luzerne county,9.4,"53,469"
me,unknown,1800.0,30 minutes,44.01,-69.8988889,10,15,14:45,2013,bowdoinham,sagadahoc county,5.6,"65,969"
md,disk,7.0,7 seconds,38.9805556,-77.10055559999998,10,15,15:00,2013,bethesda,montgomery county,4.9,"107,758"
az,fireball,10.0,10 seconds,34.4838889,-114.32166670000001,10,15,16:00,2013,lake havasu city,mohave county,10.3,"45,129"
mt,light,120.0,2 minutes,45.6797222,-111.03777779999999,10,15,16:45,2013,bozeman,gallatin county,4.1,"67,569"
il,changing,1500.0,20-25 minutes,42.27111110000001,-89.09388890000002,10,15,19:30,2013,rockford,winnebago county,10.5,"53,795"
nj,unknown,90.0,90 seconds,39.41,-74.365,10,15,19:35,2013,brigantine,atlantic county,11.7,"60,826"
id,chevron,30.0,30 seconds,43.6136111,-116.2025,10,15,20:00,2013,boise,ada county,5.2,"66,827"
nc,other,480.0,8 minutes,36.13444439999999,-80.6597222,10,15,20:00,2013,yadkinville,yadkin county,7.7,"49,070"
nc,light,3.0,3 seconds,33.8941667,-78.4269444,10,15,20:30,2013,ocean isle beach,brunswick county,9.8,"60,163"
ca,sphere,0.5,<0.5 second,34.20111110000001,-118.53555559999998,10,15,20:35,2013,reseda,los angeles county,9.8,"67,986"
wa,disk,300.0,~5:00 minutes,48.9938889,-122.74583329999999,10,15,21:45,2013,blaine,whatcom county,7.4,"62,262"
nm,flash,60.0,1 minute,35.084444399999995,-106.65055559999999,10,15,22:00,2013,albuquerque,bernalillo county,6.5,"51,372"
ca,light,240.0,4 minutes,38.5816667,-121.49333329999999,10,15,22:30,2013,sacramento,sacramento county,8.9,"69,475"
ok,other,60.0,1 minutes,36.1888889,-95.7455556,10,15,23:00,2013,catoosa,rogers county,5.1,"61,849"
wv,triangle,60.0,1 minute,39.5105556,-79.79861109999999,10,15,23:30,2013,reedsville,preston county,6.5,"47,101"
pa,light,60.0,1 minute,40.72555560000001,-75.3944444,10,16,00:15,2013,bath,northampton county,7.4,"68,217"
in,formation,600.0,10 minutes,39.28666670000001,-86.7625,10,16,08:40,2013,spencer,owen county,10.1,"49,731"
pa,cigar,420.0,7 minutes,40.2013889,-77.1891667,10,16,18:50,2013,carlisle,cumberland county,5.7,"71,695"
mn,formation,600.0,10 minutes,44.9630556,-92.96472220000001,10,16,19:05,2013,oakdale,washington county,4.4,"95,840"
ma,light,600.0,10 minutes,41.6361111,-70.93472220000002,10,16,19:15,2013,new bedford,bristol county,8.7,"66,005"
az,unknown,600.0,10 minutes,33.248611100000005,-111.63361110000001,10,16,19:30,2013,queen creek,maricopa county,6.6,"65,234"
oh,circle,2.0,2 seconds,39.0283333,-84.2177778,10,16,20:15,2013,amelia,clermont county,7.4,"65,280"
ca,circle,60.0,1 minute,38.5816667,-121.49333329999999,10,16,20:23,2013,sacramento,sacramento county,8.9,"69,475"
tx,cylinder,180.0,3 minutes,32.7252778,-97.32055559999999,10,16,20:57,2013,fort worth,tarrant county,6.0,"66,059"
az,other,1500.0,25 minutes,33.3941667,-110.7858333,10,16,21:30,2013,globe,gila county,9.6,"43,585"
in,circle,300.0,5 minutes,39.7683333,-86.1580556,10,16,21:40,2013,indianapolis,marion county,8.5,"48,409"
ut,egg,3.0,3 seconds,41.1325,-111.92944440000001,10,16,22:30,2013,south weber,davis county,4.3,"84,381"
id,other,180.0,3 minutes,44.0783333,-116.9327778,10,16,22:45,2013,payette,payette county,6.5,"51,835"
id,formation,300.0,5 minutes,43.6122222,-116.39055559999998,10,16,22:57,2013,meridian,ada county,5.2,"66,827"
ca,circle,600.0,10 minutes,32.8572222,-116.9213889,10,17,06:45,2013,lakeside,san diego county,7.8,"78,777"
ca,other,5.0,5 seconds,37.3394444,-121.8938889,10,17,07:00,2013,san jose,santa clara county,6.5,"125,933"
fl,unknown,2700.0,~45 minutes,28.0777778,-82.76388890000001,10,17,08:17,2013,palm harbor,pinellas county,6.6,"52,226"
va,disk,300.0,5 minutes,36.6222222,-81.1511111,10,17,19:40,2013,independence,grayson county,9.7,"37,550"
wa,light,300.0,4-5 minutes,48.5466667,-117.90444440000002,10,17,20:00,2013,colville,stevens county,10.8,"51,183"
fl,light,7200.0,2 hrs,26.0625,-80.2333333,10,17,20:00,2013,davie,broward county,6.8,"57,200"
nj,circle,60.0,<1 minute,39.54,-74.2572222,10,17,20:26,2013,holgate,ocean county,9.3,"68,483"
id,fireball,5.0,5 seconds,43.6136111,-116.2025,10,17,20:45,2013,boise,ada county,5.2,"66,827"
wa,light,900.0,15 minutes,47.6447222,-122.6936111,10,17,21:00,2013,silverdale,kitsap county,7.2,"76,530"
nc,circle,2.0,seconds,34.035,-77.89388890000002,10,17,21:15,2013,carolina beach,new hanover county,7.6,"53,419"
fl,light,900.0,15 minutes,27.243611100000006,-80.83,10,17,21:35,2013,okeechobee,okeechobee county,8.7,"42,258"
va,light,300.0,3-5 minutes,38.02916670000001,-78.47694440000002,10,17,22:18,2013,charlottesville,albemarle county,4.8,"80,392"
ca,oval,1200.0,20 minutes,33.2,-117.24166670000001,10,17,23:00,2013,vista,san diego county,7.8,"78,777"
or,fireball,30.0,30 seconds,44.9902778,-123.025,10,18,00:00,2013,keizer,marion county,8.8,"56,408"
nh,circle,180.0,3 minutes,42.8441667,-71.4802778,10,18,01:45,2013,litchfield,hillsborough county,5.4,"78,714"
fl,fireball,600.0,10 minutes,26.3583333,-80.08333329999998,10,18,08:00,2013,boca raton,palm beach county,7.1,"61,735"
wa,light,600.0,10 minutes,46.7313889,-117.1786111,10,18,17:30,2013,pullman,whitman county,6.0,"45,389"
ca,cylinder,600.0,10 minutes,38.7083333,-121.3288889,10,18,19:00,2013,antelope,sacramento county,8.9,"69,475"
vt,light,900.0,15 minutes,44.6397222,-73.1108333,10,18,19:15,2013,milton,chittenden county,3.4,"74,240"
mn,light,30.0,20-30 seconds,46.7833333,-92.10638890000001,10,18,19:40,2013,duluth,st. louis county,6.1,"53,833"
tn,unknown,45.0,45 seconds,36.5297222,-87.3594444,10,18,19:45,2013,clarksville,montgomery county,7.6,"56,102"
tx,circle,7200.0,2 hours,32.783333299999995,-96.8,10,18,20:00,2013,dallas,dallas county,6.6,"59,838"
pa,formation,30.0,30 seconds,40.1738889,-80.24638890000001,10,18,20:12,2013,washington,washington county,6.9,"63,119"
in,fireball,90.0,90 seconds,38.398055600000006,-85.755,10,18,20:15,2013,sellersburg,clark county,6.9,"56,774"
pa,triangle,300.0,5 minutes,40.1738889,-80.24638890000001,10,18,20:15,2013,washington,washington county,6.9,"63,119"
nh,fireball,600.0,10 minutes,42.9463889,-71.51638890000002,10,18,21:30,2013,bedford,hillsborough county,5.4,"78,714"
ga,sphere,60.0,1 minute,33.618888899999995,-83.8675,10,18,21:30,2013,oxford,newton county,9.7,"56,598"
fl,fireball,180.0,2-3 minutes,27.336111100000004,-82.5308333,10,18,21:30,2013,sarasota,sarasota county,7.0,"61,652"
ga,other,180.0,3 minutes,33.9561111,-83.9880556,10,18,21:33,2013,lawrenceville,gwinnett county,6.9,"72,008"
fl,light,900.0,2-15 minutes,27.336111100000004,-82.5308333,10,18,21:40,2013,sarasota,sarasota county,7.0,"61,652"
oh,fireball,300.0,5 minutes,39.1619444,-84.4569444,10,18,21:45,2013,cincinnati,hamilton county,7.3,"57,300"
oh,fireball,900.0,15 minutes,39.15555560000001,-84.4597222,10,18,22:34,2013,norwood,hamilton county,7.3,"57,300"
oh,fireball,900.0,15 minutes,39.15555560000001,-84.4597222,10,18,22:34,2013,norwood,hamilton county,7.3,"57,300"
ma,circle,45.0,45 seconds,41.7055556,-70.22916670000001,10,18,22:35,2013,west yarmouth,barnstable county,8.4,"69,001"
in,formation,900.0,15 minutes,40.04555560000001,-86.0086111,10,18,23:30,2013,noblesville,hamilton county,5.0,"101,740"
wi,oval,180.0,3 minutes,44.8113889,-91.4983333,10,19,00:00,2013,eau claire,eau claire county,5.7,"60,111"
va,circle,240.0,4 minutes,38.8902778,-77.0844444,10,19,00:17,2013,arlington,arlington county,3.5,"120,950"
va,unknown,5.0,5 seconds,36.8527778,-75.9783333,10,19,00:20,2013,virginia beach,virginia beach city,5.4,"76,520"
az,oval,300.0,5 minutes,34.54,-112.4677778,10,19,07:30,2013,prescott,yavapai county,7.7,"48,758"
il,other,600.0,10 minutes,37.7644444,-89.335,10,19,10:45,2013,murphysboro,jackson county,7.9,"41,445"
fl,light,600.0,10 minutes,25.9869444,-80.2325,10,19,11:00,2013,miramar,broward county,6.8,"57,200"
ma,oval,6.0,6 seconds,42.4083333,-71.0125,10,19,11:33,2013,revere,suffolk county,6.2,"68,743"
ca,disk,1560.0,26 minutes,34.0522222,-118.2427778,10,19,13:13,2013,los angeles,los angeles county,9.8,"67,986"
az,circle,20.0,20 seconds,31.554444399999994,-110.3030556,10,19,13:40,2013,sierra vista,cochise county,9.2,"49,164"
or,disk,360.0,4-6 minutes,44.3936111,-122.9836111,10,19,18:00,2013,brownsville,linn county,9.7,"54,292"
in,light,300.0,5+ minutes,40.4166667,-86.87527779999998,10,19,18:45,2013,lafayette,tippecanoe county,6.6,"52,269"
ma,light,120.0,several minutes,42.6333333,-71.3166667,10,19,19:05,2013,lowell,middlesex county,5.5,"100,374"
az,fireball,10.0,10 seconds,35.0241667,-110.69666670000001,10,19,19:30,2013,winslow,navajo county,13.5,"40,650"
ky,light,30.0,30 seconds,38.105,-85.7588889,10,19,20:03,2013,fairdale,jefferson county,7.5,"55,860"
il,unknown,420.0,5-7 minutes,38.5338889,-89.9888889,10,19,20:10,2013,swansea,st. clair county,9.8,"58,222"
az,fireball,180.0,3 minutes,33.3061111,-111.84055559999999,10,19,20:15,2013,chandler,maricopa county,6.6,"65,234"
wi,circle,600.0,10 minutes,44.0247222,-88.5425,10,19,20:15,2013,oshkosh,winnebago county,6.4,"57,785"
az,fireball,180.0,3 minutes,33.4352778,-112.3575,10,19,20:30,2013,goodyear,maricopa county,6.6,"65,234"
fl,other,900.0,10-15 minutes,28.538055600000003,-81.3794444,10,19,20:45,2013,orlando,orange county,6.8,"58,037"
wi,light,300.0,5 minutes,43.773055600000006,-88.4469444,10,19,20:53,2013,fond du lac,fond du lac county,6.1,"59,428"
