state,county,UFO_sightings,Unemployment_rate_2013,REGION,DIVISION,POPESTIMATE2013,STNAME,per_capita_sightings
va,amherst county,1,6.1,3,5,32317,Virginia,3.094346628709348e-05
va,arlington county,4,3.5,3,5,224894,Virginia,1.7786157033980453e-05
va,bristol city,2,7.0,3,5,17386,Virginia,0.00011503508570113885
va,caroline county,1,7.1,3,5,29248,Virginia,3.4190371991247264e-05
va,carroll county,1,8.3,3,5,29909,Virginia,3.3434752081313316e-05
va,charlotte county,1,7.8,3,5,12279,Virginia,8.143985666585227e-05
va,chesapeake city,4,5.9,3,5,230327,Virginia,1.736661355377355e-05
va,chesterfield county,7,5.7,3,5,327612,Virginia,2.1366738703100007e-05
va,colonial heights city,1,6.5,3,5,17487,Virginia,5.7185337679418995e-05
va,covington city,1,8.4,3,5,5827,Virginia,0.00017161489617298782
va,craig county,1,7.0,3,5,5138,Virginia,0.00019462826002335538
va,culpeper county,1,5.4,3,5,48606,Virginia,2.057359173764556e-05
va,danville city,1,9.8,3,5,42623,Virginia,2.346151139056378e-05
va,fairfax city,3,4.2,3,5,23230,Virginia,0.00012914334911752045
va,fairfax county,16,4.4,3,5,1131784,Virginia,1.4136973132682561e-05
va,falls church city,2,3.9,3,5,13360,Virginia,0.0001497005988023952
va,fauquier county,1,4.9,3,5,67139,Virginia,1.4894472661195431e-05
va,floyd county,1,5.4,3,5,15482,Virginia,6.459113809585325e-05
va,franklin county,1,5.9,3,5,56269,Virginia,1.7771774867155984e-05
va,frederick county,1,5.3,3,5,81474,Virginia,1.2273854235707096e-05
va,fredericksburg city,7,6.5,3,5,27818,Virginia,0.0002516356316054353
va,gloucester county,1,5.2,3,5,36768,Virginia,2.7197563098346387e-05
va,grayson county,2,9.7,3,5,15128,Virginia,0.00013220518244315177
va,greene county,1,4.8,3,5,18848,Virginia,5.305602716468591e-05
va,hampton city,4,7.5,3,5,137332,Virginia,2.9126496373751203e-05
va,hanover county,2,5.1,3,5,101065,Virginia,1.9789244545589473e-05
va,harrisonburg city,1,6.8,3,5,51537,Virginia,1.9403535324136057e-05
va,henrico county,1,5.6,3,5,318640,Virginia,3.138337936228973e-06
va,king george county,1,5.8,3,5,24897,Virginia,4.016548178495401e-05
va,loudoun county,9,4.4,3,5,349915,Virginia,2.5720532129231386e-05
va,lynchburg city,2,7.1,3,5,77940,Virginia,2.5660764690787784e-05
va,manassas city,4,5.4,3,5,41082,Virginia,9.736624312350908e-05
va,montgomery county,1,5.7,3,5,96589,Virginia,1.0353145803352348e-05
va,new kent county,1,5.0,3,5,19516,Virginia,5.124000819840131e-05
va,newport news city,4,6.8,3,5,181275,Virginia,2.206592194180113e-05
va,norfolk city,4,7.0,3,5,245468,Virginia,1.6295403066794858e-05
va,northampton county,1,9.1,3,5,12030,Virginia,8.312551953449709e-05
va,page county,1,9.2,3,5,23723,Virginia,4.2153184673102054e-05
va,petersburg city,1,11.7,3,5,32311,Virginia,3.094921234254588e-05
va,portsmouth city,2,8.1,3,5,96075,Virginia,2.0817069997397866e-05
va,prince george county,1,7.0,3,5,37333,Virginia,2.6785953446012912e-05
va,prince william county,11,5.2,3,5,437735,Virginia,2.512935908711892e-05
va,richmond city,15,6.8,3,5,213860,Virginia,7.013934349574488e-05
va,roanoke city,4,6.7,3,5,98849,Virginia,4.0465760908051675e-05
va,shenandoah county,1,5.6,3,5,42506,Virginia,2.3526090434291628e-05
va,southampton county,1,5.6,3,5,18329,Virginia,5.45583501554913e-05
va,stafford county,1,5.7,3,5,135923,Virginia,7.3571065971174855e-06
va,staunton city,2,5.8,3,5,24101,Virginia,8.298410854321397e-05
va,suffolk city,2,6.3,3,5,85751,Virginia,2.3323343168009702e-05
va,surry county,2,7.3,3,5,6787,Virginia,0.0002946810078090467
va,virginia beach city,18,5.4,3,5,447706,Virginia,4.0204955930901083e-05
va,warren county,2,6.1,3,5,38500,Virginia,5.194805194805195e-05
va,washington county,1,6.4,3,5,54776,Virginia,1.825617058565795e-05
va,waynesboro city,1,6.1,3,5,21167,Virginia,4.7243350498417346e-05
va,williamsburg city,1,7.7,3,5,14617,Virginia,6.84134911404529e-05
va,winchester city,3,5.8,3,5,27321,Virginia,0.00010980564401010212
va,wythe county,1,7.8,3,5,29282,Virginia,3.415067276825353e-05
va,york county,1,5.4,3,5,65980,Virginia,1.515610791148833e-05
vt,addison county,3,4.1,1,1,36934,Vermont,8.122597065034928e-05
vt,bennington county,3,5.2,1,1,36534,Vermont,8.211528986697323e-05
vt,caledonia county,3,5.3,1,1,31044,Vermont,9.663703131039814e-05
vt,chittenden county,16,3.4,1,1,159432,Vermont,0.00010035626473982639
vt,essex county,1,6.8,1,1,6193,Vermont,0.00016147263038914905
vt,franklin county,3,4.2,1,1,48407,Vermont,6.197450781911707e-05
vt,lamoille county,2,5.7,1,1,25111,Vermont,7.964637011668193e-05
vt,orange county,3,4.1,1,1,28848,Vermont,0.00010399334442595674
vt,rutland county,3,5.3,1,1,60488,Vermont,4.959661420447031e-05
vt,washington county,12,4.3,1,1,59218,Vermont,0.00020264108885811747
vt,windham county,6,4.7,1,1,43885,Vermont,0.00013672097527629032
vt,windsor county,4,4.2,1,1,55993,Vermont,7.143750111621096e-05
wa,asotin county,3,6.6,4,9,22129,Washington,0.00013556871074156085
wa,benton county,7,8.9,4,9,184318,Washington,3.7977842641521716e-05
wa,chelan county,9,7.3,4,9,73723,Washington,0.00012207859148434004
wa,clallam county,5,9.6,4,9,72046,Washington,6.940010548816034e-05
wa,clark county,12,8.5,4,9,441341,Washington,2.7189859994879245e-05
wa,columbia county,1,8.0,4,9,4002,Washington,0.0002498750624687656
wa,cowlitz county,9,9.8,4,9,101483,Washington,8.868480435146774e-05
wa,douglas county,2,8.3,4,9,39387,Washington,5.077817554015284e-05
wa,franklin county,2,9.4,4,9,86448,Washington,2.3135295206366833e-05
wa,grant county,1,8.7,4,9,91701,Washington,1.090500648847886e-05
wa,island county,5,7.4,4,9,78198,Washington,6.39402542264508e-05
wa,jefferson county,2,9.4,4,9,30004,Washington,6.665777896280495e-05
wa,king county,66,5.1,4,9,2047223,Washington,3.223879372203224e-05
wa,kitsap county,18,7.2,4,9,252401,Washington,7.131508987682299e-05
wa,kittitas county,1,7.8,4,9,41828,Washington,2.390743042937745e-05
wa,klickitat county,2,9.4,4,9,20871,Washington,9.582674524459776e-05
wa,lewis county,2,10.5,4,9,74962,Washington,2.6680184626877617e-05
wa,lincoln county,2,6.8,4,9,10295,Washington,0.0001942690626517727
wa,mason county,2,10.0,4,9,60474,Washington,3.307206402751596e-05
wa,pierce county,26,8.3,4,9,821012,Washington,3.1668233838238665e-05
wa,san juan county,2,6.0,4,9,15909,Washington,0.00012571500408573762
wa,skagit county,3,8.6,4,9,118255,Washington,2.5368906177328655e-05
wa,snohomish county,29,5.8,4,9,744112,Washington,3.897262777646376e-05
wa,spokane county,17,8.2,4,9,478332,Washington,3.554016875308363e-05
wa,stevens county,1,10.8,4,9,43271,Washington,2.3110166162094704e-05
wa,thurston county,17,7.6,4,9,261852,Washington,6.492216977529292e-05
wa,walla walla county,3,7.1,4,9,59361,Washington,5.05382321726386e-05
wa,whatcom county,20,7.4,4,9,206073,Washington,9.705298607774915e-05
wa,whitman county,4,6.0,4,9,46792,Washington,8.548469823901521e-05
wa,yakima county,9,10.0,4,9,246485,Washington,3.651337809603019e-05
wi,adams county,1,10.9,2,3,20413,Wisconsin,4.8988389751628865e-05
wi,bayfield county,1,11.0,2,3,15113,Wisconsin,6.616819956328988e-05
wi,brown county,6,6.2,2,3,254211,Wisconsin,2.360244049234691e-05
wi,burnett county,2,8.5,2,3,15269,Wisconsin,0.00013098434737048923
wi,clark county,1,7.1,2,3,34538,Wisconsin,2.8953616306676705e-05
wi,columbia county,7,6.5,2,3,56581,Wisconsin,0.00012371644191513053
wi,dane county,16,4.7,2,3,509762,Wisconsin,3.138719637791754e-05
wi,dunn county,1,6.4,2,3,44046,Wisconsin,2.270353721109749e-05
wi,eau claire county,2,5.7,2,3,101734,Wisconsin,1.9659111014999903e-05
wi,florence county,1,8.3,2,3,4383,Wisconsin,0.00022815423226100844
wi,fond du lac county,2,6.1,2,3,101787,Wisconsin,1.9648874610706672e-05
wi,grant county,2,5.9,2,3,50994,Wisconsin,3.922030042750128e-05
wi,green lake county,3,7.9,2,3,18880,Wisconsin,0.00015889830508474575
wi,iowa county,1,6.5,2,3,23556,Wisconsin,4.2452029206996094e-05
wi,jackson county,2,7.1,2,3,20559,Wisconsin,9.728099615740066e-05
wi,jefferson county,5,6.3,2,3,84604,Wisconsin,5.9098860573968134e-05
wi,juneau county,2,8.1,2,3,26567,Wisconsin,7.528136409831747e-05
wi,kenosha county,7,7.7,2,3,167300,Wisconsin,4.184100418410042e-05
wi,kewaunee county,2,6.4,2,3,20370,Wisconsin,9.818360333824252e-05
wi,la crosse county,5,5.3,2,3,116881,Wisconsin,4.277855254489609e-05
wi,manitowoc county,3,7.4,2,3,80485,Wisconsin,3.727402621606511e-05
wi,marathon county,1,6.7,2,3,134884,Wisconsin,7.413777764597729e-06
wi,marinette county,2,7.9,2,3,41288,Wisconsin,4.8440224762642895e-05
wi,milwaukee county,12,8.4,2,3,957443,Wisconsin,1.253338318834646e-05
wi,monroe county,1,6.9,2,3,45123,Wisconsin,2.2161647053609024e-05
wi,oconto county,1,7.7,2,3,37366,Wisconsin,2.676229727559814e-05
wi,outagamie county,7,6.1,2,3,180330,Wisconsin,3.881772306327289e-05
wi,pierce county,3,5.3,2,3,40814,Wisconsin,7.35041897388151e-05
wi,polk county,2,7.1,2,3,43313,Wisconsin,4.617551312538961e-05
wi,portage county,3,6.9,2,3,70518,Wisconsin,4.254232961796988e-05
wi,price county,1,6.9,2,3,13738,Wisconsin,7.279079924297569e-05
wi,racine county,6,8.3,2,3,194680,Wisconsin,3.081980686254366e-05
wi,rock county,4,7.7,2,3,160341,Wisconsin,2.494683206416325e-05
wi,sauk county,1,6.3,2,3,62782,Wisconsin,1.5928132267210348e-05
wi,shawano county,3,7.5,2,3,41409,Wisconsin,7.244801854669275e-05
wi,sheboygan county,1,6.1,2,3,114697,Wisconsin,8.718623852411135e-06
wi,st. croix county,2,5.4,2,3,85643,Wisconsin,2.3352755041275995e-05
wi,vilas county,1,10.1,2,3,21395,Wisconsin,4.673989249824725e-05
wi,walworth county,7,6.8,2,3,102793,Wisconsin,6.80980222388684e-05
wi,washburn county,1,7.4,2,3,15661,Wisconsin,6.385288295766554e-05
wi,washington county,4,5.7,2,3,132929,Wisconsin,3.0091251720843456e-05
wi,waukesha county,13,5.5,2,3,394147,Wisconsin,3.298261816022956e-05
wi,waupaca county,1,7.3,2,3,52066,Wisconsin,1.9206391887220068e-05
wi,waushara county,1,8.6,2,3,24255,Wisconsin,4.1228612657184085e-05
wi,winnebago county,7,6.4,2,3,169283,Wisconsin,4.135087398025791e-05
wi,wood county,1,7.3,2,3,73920,Wisconsin,1.3528138528138528e-05
wv,berkeley county,2,5.6,3,5,108495,West Virginia,1.843402921793631e-05
wv,cabell county,5,5.8,3,5,97026,West Virginia,5.153257889637829e-05
wv,doddridge county,1,5.3,3,5,8549,West Virginia,0.00011697274535033338
wv,fayette county,3,8.6,3,5,45557,West Virginia,6.585157055995786e-05
wv,hampshire county,1,7.0,3,5,23483,West Virginia,4.258399693395222e-05
wv,harrison county,3,5.6,3,5,68907,West Virginia,4.35369410945187e-05
wv,jackson county,2,6.9,3,5,29193,West Virginia,6.850957421299626e-05
wv,jefferson county,3,4.8,3,5,55001,West Virginia,5.4544462827948585e-05
wv,kanawha county,7,5.9,3,5,191539,West Virginia,3.654608199896627e-05
wv,logan county,1,9.8,3,5,35933,West Virginia,2.7829571702891493e-05
wv,marion county,2,5.9,3,5,56723,West Virginia,3.5259065987342e-05
wv,marshall county,1,7.3,3,5,32643,West Virginia,3.063443923658977e-05
wv,mason county,1,9.4,3,5,27144,West Virginia,3.684055408193339e-05
wv,mcdowell county,1,12.7,3,5,20958,West Virginia,4.7714476572192006e-05
wv,mercer county,3,7.7,3,5,61911,West Virginia,4.84566555216359e-05
wv,mineral county,1,7.8,3,5,27691,West Virginia,3.611281643855404e-05
wv,mingo county,1,11.2,3,5,26013,West Virginia,3.844231730288702e-05
wv,ohio county,1,5.7,3,5,43732,West Virginia,2.2866550809475898e-05
wv,preston county,1,6.5,3,5,33682,West Virginia,2.9689448370049286e-05
wv,putnam county,2,5.7,3,5,56492,West Virginia,3.5403242937053036e-05
wv,randolph county,2,7.2,3,5,29522,West Virginia,6.774608766343743e-05
wv,wayne county,1,6.9,3,5,41840,West Virginia,2.390057361376673e-05
wv,wood county,3,6.2,3,5,86522,West Virginia,3.467326229167148e-05
wy,albany county,1,3.8,4,8,37556,Wyoming,2.6626903823623388e-05
wy,campbell county,2,4.2,4,8,48038,Wyoming,4.163370664890295e-05
wy,crook county,1,4.4,4,8,7149,Wyoming,0.00013987970345502866
wy,johnson county,1,5.1,4,8,8641,Wyoming,0.0001157273463719477
wy,natrona county,3,4.5,4,8,81103,Wyoming,3.69900003699e-05
wy,park county,3,5.1,4,8,29050,Wyoming,0.00010327022375215147
wy,sweetwater county,2,4.4,4,8,45157,Wyoming,4.4289921828287974e-05
