state,county,UFO_sightings,Unemployment_rate_2013,REGION,DIVISION,POPESTIMATE2013,STNAME,per_capita_sightings
ok,pittsburg county,1,7.3,3,7,45267,Oklahoma,2.209114807696556e-05
ok,pottawatomie county,1,5.5,3,7,70906,Oklahoma,1.4103178856514259e-05
ok,pushmataha county,1,8.9,3,7,11206,Oklahoma,8.92379082634303e-05
ok,rogers county,3,5.1,3,7,88727,Oklahoma,3.381157933887092e-05
ok,tulsa county,13,5.1,3,7,623705,Oklahoma,2.0843187083637295e-05
ok,wagoner county,1,5.1,3,7,75654,Oklahoma,1.3218071747693447e-05
ok,washita county,1,4.2,3,7,11701,Oklahoma,8.54627809588924e-05
or,baker county,1,9.6,4,9,16016,Oregon,6.243756243756244e-05
or,benton county,3,5.7,4,9,86167,Oregon,3.481611289704875e-05
or,clackamas county,11,7.1,4,9,387442,Oregon,2.8391346317642383e-05
or,clatsop county,7,7.8,4,9,37113,Oregon,0.000188613154420284
or,columbia county,4,9.6,4,9,49259,Oregon,8.12034349052965e-05
or,coos county,7,10.2,4,9,62376,Oregon,0.00011222264973707836
or,curry county,1,10.6,4,9,22226,Oregon,4.499235130027895e-05
or,deschutes county,6,9.5,4,9,165299,Oregon,3.629786024113878e-05
or,douglas county,4,10.6,4,9,106603,Oregon,3.752239618022007e-05
or,hood river county,3,6.3,4,9,22577,Oregon,0.00013287859325862605
or,jackson county,5,9.7,4,9,207179,Oregon,2.4133720116421067e-05
or,josephine county,3,11.1,4,9,83131,Oregon,3.6087620743164405e-05
or,klamath county,2,10.8,4,9,65682,Oregon,3.0449742699674187e-05
or,lake county,1,11.4,4,9,7795,Oregon,0.0001282873636946761
or,lane county,18,8.0,4,9,355481,Oregon,5.063561765607726e-05
or,lincoln county,11,8.8,4,9,46322,Oregon,0.0002374681576788567
or,linn county,6,9.7,4,9,118405,Oregon,5.067353574595667e-05
or,marion county,15,8.8,4,9,321471,Oregon,4.666050747967935e-05
or,multnomah county,31,6.8,4,9,766532,Oregon,4.044188631394384e-05
or,tillamook county,3,8.4,4,9,25343,Oregon,0.00011837588288679319
or,umatilla county,3,8.8,4,9,76875,Oregon,3.902439024390244e-05
or,wasco county,1,7.6,4,9,25323,Oregon,3.9489791888796745e-05
or,washington county,17,6.3,4,9,555264,Oregon,3.06160673121254e-05
or,yamhill county,3,7.5,4,9,99869,Oregon,3.0039351550531197e-05
pa,allegheny county,33,6.5,1,2,1233700,Pennsylvania,2.674880440949988e-05
pa,armstrong county,2,7.7,1,2,67964,Pennsylvania,2.9427343887940674e-05
pa,beaver county,4,7.2,1,2,169726,Pennsylvania,2.356739686317948e-05
pa,berks county,12,7.1,1,2,413915,Pennsylvania,2.899145959919307e-05
pa,blair county,2,7.0,1,2,125836,Pennsylvania,1.5893702914905113e-05
pa,bucks county,21,6.6,1,2,625012,Pennsylvania,3.359935489238607e-05
pa,butler county,5,6.2,1,2,185103,Pennsylvania,2.7011987920239002e-05
pa,cambria county,3,8.7,1,2,138826,Pennsylvania,2.1609784910607524e-05
pa,carbon county,4,9.3,1,2,64538,Pennsylvania,6.197898912268741e-05
pa,centre county,1,5.3,1,2,158231,Pennsylvania,6.319874108107766e-06
pa,chester county,18,5.3,1,2,509105,Pennsylvania,3.535616424902525e-05
pa,clearfield county,1,9.0,1,2,81428,Pennsylvania,1.2280787935353932e-05
pa,clinton county,3,9.0,1,2,39831,Pennsylvania,7.531821947729155e-05
pa,columbia county,1,7.7,1,2,67193,Pennsylvania,1.488250264164422e-05
pa,crawford county,3,7.2,1,2,87508,Pennsylvania,3.428257987841112e-05
pa,cumberland county,6,5.7,1,2,241059,Pennsylvania,2.4890172115540177e-05
pa,dauphin county,2,6.8,1,2,271431,Pennsylvania,7.368355125243616e-06
pa,delaware county,3,7.1,1,2,561499,Pennsylvania,5.342841216101898e-06
pa,erie county,9,7.4,1,2,280717,Pennsylvania,3.206075870004311e-05
pa,fayette county,1,9.6,1,2,134601,Pennsylvania,7.429365309321625e-06
pa,franklin county,1,6.6,1,2,151945,Pennsylvania,6.5813287702787195e-06
pa,indiana county,2,7.7,1,2,88140,Pennsylvania,2.269117313365101e-05
pa,lackawanna county,2,8.3,1,2,213725,Pennsylvania,9.35781962802667e-06
pa,lancaster county,19,6.0,1,2,530012,Pennsylvania,3.584824494539746e-05
pa,lawrence county,4,7.5,1,2,89258,Pennsylvania,4.4813910237737796e-05
pa,lebanon county,7,6.2,1,2,135804,Pennsylvania,5.154487349415334e-05
pa,lehigh county,7,7.8,1,2,355341,Pennsylvania,1.9699387349053446e-05
pa,luzerne county,9,9.4,1,2,319637,Pennsylvania,2.8156940529413052e-05
pa,lycoming county,4,7.8,1,2,116598,Pennsylvania,3.4305905761676875e-05
pa,mckean county,1,8.2,1,2,42808,Pennsylvania,2.3360119603812372e-05
pa,mercer county,2,7.2,1,2,115129,Pennsylvania,1.7371817700145056e-05
pa,monroe county,6,9.4,1,2,167355,Pennsylvania,3.585193152281079e-05
pa,montgomery county,11,5.9,1,2,812586,Pennsylvania,1.3537028696039557e-05
pa,northampton county,10,7.4,1,2,298955,Pennsylvania,3.344985031191985e-05
pa,perry county,2,6.5,1,2,45649,Pennsylvania,4.3812569826283164e-05
pa,philadelphia county/city,7,10.3,1,2,1558313,Pennsylvania,4.492037222303863e-06
pa,pike county,3,9.7,1,2,56061,Pennsylvania,5.351313747525017e-05
pa,snyder county,1,6.9,1,2,40123,Pennsylvania,2.4923360665952197e-05
pa,somerset county,1,9.2,1,2,76587,Pennsylvania,1.3057046235000719e-05
pa,tioga county,1,8.6,1,2,42211,Pennsylvania,2.3690507213759446e-05
pa,union county,1,6.3,1,2,44735,Pennsylvania,2.2353861629596513e-05
pa,washington county,3,6.9,1,2,208046,Pennsylvania,1.441988790940465e-05
pa,wayne county,3,7.9,1,2,52204,Pennsylvania,5.7466860776951956e-05
pa,westmoreland county,8,7.0,1,2,360663,Pennsylvania,2.2181371529655107e-05
pa,wyoming county,1,8.6,1,2,28133,Pennsylvania,3.5545444851242315e-05
pa,york county,8,6.7,1,2,438932,Pennsylvania,1.8226057794829267e-05
ri,kent county,6,8.7,1,1,164358,Rhode Island,3.6505676632716386e-05
ri,newport county,1,8.5,1,1,83459,Rhode Island,1.1981931247678501e-05
