Unemployment_rate_2013,Median_Household_Income_2018,state,county
8.3,"44,100",ar,sevier county
9.7,"36,032",ar,sharp county
8.4,"34,009",ar,stone county
8.6,"45,335",ar,union county
9.7,"40,486",ar,van buren county
5.4,"50,893",ar,washington county
7.8,"44,811",ar,white county
9.5,"34,306",ar,woodruff county
6.5,"41,729",ar,yell county
8.9,"75,250",ca,california
7.2,"101,744",ca,alameda county
9.7,"55,384",ca,alpine county
10.3,"58,515",ca,amador county
10.3,"50,945",ca,butte county
9.9,"62,984",ca,calaveras county
18.9,"57,249",ca,colusa county
7.5,"101,463",ca,contra costa county
11.8,"48,518",ca,del norte county
8.5,"81,869",ca,el dorado county
13.3,"52,318",ca,fresno county
12.1,"47,365",ca,glenn county
8.1,"49,471",ca,humboldt county
25.0,"46,633",ca,imperial county
7.8,"53,793",ca,inyo county
11.7,"51,586",ca,kern county
13.4,"58,255",ca,kings county
10.9,"45,086",ca,lake county
10.6,"57,705",ca,lassen county
9.8,"67,986",ca,los angeles county
12.6,"53,632",ca,madera county
5.2,"122,933",ca,marin county
10.5,"51,402",ca,mariposa county
8.4,"51,386",ca,mendocino county
14.5,"56,169",ca,merced county
12.3,"45,227",ca,modoc county
8.5,"66,499",ca,mono county
10.3,"69,665",ca,monterey county
6.9,"85,624",ca,napa county
8.1,"66,681",ca,nevada county
6.6,"89,373",ca,orange county
7.7,"89,175",ca,placer county
13.8,"55,079",ca,plumas county
9.9,"66,793",ca,riverside county
8.9,"69,475",ca,sacramento county
11.1,"80,063",ca,san benito county
9.8,"63,310",ca,san bernardino county
7.8,"78,777",ca,san diego county
5.5,"110,601",ca,san francisco county/city
12.3,"63,567",ca,san joaquin county
6.8,"70,626",ca,san luis obispo county
5.3,"122,930",ca,san mateo county
7.2,"75,646",ca,santa barbara county
6.5,"125,933",ca,santa clara county
10.3,"84,213",ca,santa cruz county
11.8,"53,908",ca,shasta county
12.7,"52,308",ca,sierra county
13.1,"47,560",ca,siskiyou county
9.1,"82,808",ca,solano county
7.1,"81,002",ca,sonoma county
12.9,"59,616",ca,stanislaus county
14.6,"57,879",ca,sutter county
11.6,"47,572",ca,tehama county
11.9,"40,680",ca,trinity county
14.4,"48,763",ca,tulare county
10.8,"56,500",ca,tuolumne county
7.9,"84,170",ca,ventura county
9.0,"67,804",ca,yolo county
13.2,"47,504",ca,yuba county
6.9,"71,949",co,colorado
8.1,"70,199",co,adams county
9.7,"42,897",co,alamosa county
6.6,"76,665",co,arapahoe county
8.8,"53,337",co,archuleta county
4.1,"38,294",co,baca county
7.7,"37,659",co,bent county
5.5,"83,591",co,boulder county
5.8,"96,924",co,broomfield county/city
6.2,"56,168",co,chaffee county
4.2,"54,504",co,cheyenne county
6.3,"74,019",co,clear creek county
10.6,"38,777",co,conejos county
11.2,"31,557",co,costilla county
7.2,"35,880",co,crowley county
6.4,"55,242",co,custer county
8.9,"46,786",co,delta county
6.6,"68,069",co,denver county/city
8.3,"47,482",co,dolores county
5.3,"120,670",co,douglas county
6.0,"86,896",co,eagle county
5.9,"98,247",co,elbert county
7.9,"67,923",co,el paso county
10.7,"47,885",co,fremont county
7.5,"74,421",co,garfield county
6.0,"72,949",co,gilpin county
5.8,"69,214",co,grand county
5.5,"61,268",co,gunnison county
4.6,"62,149",co,hinsdale county
13.7,"38,242",co,huerfano county
4.8,"51,457",co,jackson county
6.3,"85,550",co,jefferson county
4.5,"44,704",co,kiowa county
3.9,"48,342",co,kit carson county
7.2,"51,802",co,lake county
5.7,"66,219",co,la plata county
5.8,"71,306",co,larimer county
11.2,"41,485",co,las animas county
5.8,"46,690",co,lincoln county
5.1,"53,168",co,logan county
8.7,"51,132",co,mesa county
5.9,"60,210",co,mineral county
