Unemployment_rate_2013,Median_Household_Income_2018,state,county
3.6,"87,267",ia,dallas county
5.5,"54,830",ia,davis county
4.5,"41,101",ia,decatur county
4.3,"61,342",ia,delaware county
6.0,"51,805",ia,des moines county
5.3,"55,603",ia,dickinson county
4.5,"60,367",ia,dubuque county
4.1,"51,497",ia,emmet county
5.3,"50,893",ia,fayette county
5.5,"53,811",ia,floyd county
4.4,"59,367",ia,franklin county
4.2,"54,658",ia,fremont county
4.7,"51,861",ia,greene county
4.4,"65,060",ia,grundy county
5.2,"60,306",ia,guthrie county
5.4,"56,738",ia,hamilton county
4.0,"60,859",ia,hancock county
5.1,"55,303",ia,hardin county
4.5,"60,044",ia,harrison county
5.3,"55,856",ia,henry county
4.6,"53,500",ia,howard county
4.1,"60,166",ia,humboldt county
4.0,"60,312",ia,ida county
4.1,"64,188",ia,iowa county
5.4,"54,663",ia,jackson county
5.1,"60,378",ia,jasper county
5.0,"46,715",ia,jefferson county
3.4,"64,387",ia,johnson county
5.3,"55,405",ia,jones county
5.1,"52,122",ia,keokuk county
3.6,"55,486",ia,kossuth county
7.1,"48,241",ia,lee county
5.0,"64,878",ia,linn county
5.1,"49,585",ia,louisa county
4.7,"49,956",ia,lucas county
2.9,"69,048",ia,lyon county
5.1,"74,794",ia,madison county
4.8,"56,492",ia,mahaska county
4.5,"63,491",ia,marion county
6.0,"59,552",ia,marshall county
4.4,"64,271",ia,mills county
4.3,"59,558",ia,mitchell county
5.7,"50,530",ia,monona county
5.7,"56,541",ia,monroe county
4.9,"49,966",ia,montgomery county
5.2,"58,465",ia,muscatine county
3.6,"53,147",ia,o'brien county
3.8,"60,627",ia,osceola county
5.3,"54,313",ia,page county
3.7,"55,322",ia,palo alto county
4.0,"66,360",ia,plymouth county
3.8,"55,865",ia,pocahontas county
4.8,"68,479",ia,polk county
4.6,"56,337",ia,pottawattamie county
4.6,"56,170",ia,poweshiek county
4.3,"48,754",ia,ringgold county
4.2,"56,698",ia,sac county
5.6,"59,865",ia,scott county
3.8,"58,862",ia,shelby county
3.5,"70,162",ia,sioux county
3.3,"57,464",ia,story county
5.6,"56,954",ia,tama county
3.8,"47,781",ia,taylor county
4.9,"49,887",ia,union county
5.5,"47,905",ia,van buren county
6.3,"48,226",ia,wapello county
4.5,"78,192",ia,warren county
3.8,"65,849",ia,washington county
5.2,"46,725",ia,wayne county
5.3,"52,093",ia,webster county
4.8,"54,433",ia,winnebago county
4.6,"61,807",ia,winneshiek county
4.8,"60,059",ia,woodbury county
5.2,"58,587",ia,worth county
4.5,"54,802",ia,wright county
5.3,"58,150",ks,kansas
6.1,"44,423",ks,allen county
5.8,"50,646",ks,anderson county
8.6,"49,332",ks,atchison county
4.0,"47,634",ks,barber county
4.1,"49,991",ks,barton county
6.5,"41,807",ks,bourbon county
5.0,"47,529",ks,brown county
5.5,"65,953",ks,butler county
5.6,"50,981",ks,chase county
6.2,"41,129",ks,chautauqua county
6.4,"44,475",ks,cherokee county
3.4,"43,274",ks,cheyenne county
3.1,"51,235",ks,clark county
5.0,"52,681",ks,clay county
4.4,"44,467",ks,cloud county
5.9,"58,371",ks,coffey county
3.5,"46,818",ks,comanche county
5.8,"47,864",ks,cowley county
5.9,"43,852",ks,crawford county
4.0,"44,774",ks,decatur county
5.9,"50,605",ks,dickinson county
5.4,"50,949",ks,doniphan county
4.8,"57,120",ks,douglas county
3.7,"46,962",ks,edwards county
5.7,"37,360",ks,elk county
3.1,"53,840",ks,ellis county
3.3,"50,261",ks,ellsworth county
4.3,"56,206",ks,finney county
4.0,"56,052",ks,ford county
6.1,"58,033",ks,franklin county
8.7,"50,856",ks,geary county
3.3,"49,626",ks,gove county
4.1,"41,906",ks,graham county
3.6,"61,614",ks,grant county
3.0,"65,771",ks,gray county
2.4,"51,606",ks,greeley county
5.3,"43,083",ks,greenwood county
2.9,"51,559",ks,hamilton county
4.0,"45,570",ks,harper county
4.9,"57,934",ks,harvey county
2.9,"60,808",ks,haskell county
3.9,"54,058",ks,hodgeman county
5.1,"56,330",ks,jackson county
5.7,"69,246",ks,jefferson county
3.7,"44,271",ks,jewell county
4.3,"87,087",ks,johnson county
3.6,"63,248",ks,kearny county
5.4,"56,005",ks,kingman county
3.4,"64,399",ks,kiowa county
7.2,"44,571",ks,labette county
3.5,"59,240",ks,lane county
6.0,"70,807",ks,leavenworth county
4.6,"44,439",ks,lincoln county
8.7,"47,153",ks,linn county
2.8,"50,267",ks,logan county
7.2,"47,982",ks,lyon county
3.9,"58,017",ks,mcpherson county
4.7,"51,712",ks,marion county
3.9,"51,066",ks,marshall county
3.1,"67,220",ks,meade county
5.6,"71,770",ks,miami county
2.9,"51,514",ks,mitchell county
6.8,"42,479",ks,montgomery county
5.5,"49,287",ks,morris county
3.9,"53,785",ks,morton county
3.5,"59,567",ks,nemaha county
8.5,"46,176",ks,neosho county
3.1,"51,757",ks,ness county
2.8,"47,252",ks,norton county
6.7,"53,864",ks,osage county
4.2,"46,101",ks,osborne county
4.5,"56,451",ks,ottawa county
4.4,"47,039",ks,pawnee county
4.2,"47,405",ks,phillips county
4.6,"69,975",ks,pottawatomie county
4.0,"52,567",ks,pratt county
2.7,"46,638",ks,rawlins county
5.2,"49,341",ks,reno county
3.4,"48,566",ks,republic county
4.3,"51,686",ks,rice county
4.2,"47,057",ks,riley county
4.2,"47,365",ks,rooks county
4.3,"44,121",ks,rush county
3.9,"45,879",ks,russell county
5.0,"53,961",ks,saline county
2.9,"63,790",ks,scott county
6.1,"56,381",ks,sedgwick county
4.1,"50,671",ks,seward county
5.8,"53,612",ks,shawnee county
2.7,"50,553",ks,sheridan county
4.0,"45,966",ks,sherman county
3.6,"41,899",ks,smith county
4.4,"47,835",ks,stafford county
3.6,"60,136",ks,stanton county
3.0,"58,817",ks,stevens county
5.6,"56,946",ks,sumner county
3.5,"55,345",ks,thomas county
3.7,"48,520",ks,trego county
5.0,"59,744",ks,wabaunsee county
3.2,"51,350",ks,wallace county
3.7,"48,104",ks,washington county
3.5,"59,800",ks,wichita county
8.9,"45,697",ks,wilson county
6.2,"43,894",ks,woodson county
7.9,"47,084",ks,wyandotte county
8.0,"50,189",ky,kentucky
10.1,"37,392",ky,adair county
7.4,"44,624",ky,allen county
6.4,"60,908",ky,anderson county
9.2,"47,658",ky,ballard county
7.7,"42,439",ky,barren county
10.3,"44,183",ky,bath county
13.3,"29,362",ky,bell county
6.6,"77,696",ky,boone county
7.0,"48,614",ky,bourbon county
9.4,"48,020",ky,boyd county
8.8,"47,528",ky,boyle county
9.8,"56,432",ky,bracken county
14.9,"31,182",ky,breathitt county
9.2,"47,284",ky,breckinridge county
7.4,"61,022",ky,bullitt county
9.2,"43,048",ky,butler county
8.2,"43,659",ky,caldwell county
7.3,"41,873",ky,calloway county
6.6,"60,904",ky,campbell county
7.2,"41,249",ky,carlisle county
9.1,"47,623",ky,carroll county
12.7,"32,906",ky,carter county
8.6,"34,358",ky,casey county
9.4,"40,299",ky,christian county
7.5,"50,162",ky,clark county
14.3,"28,146",ky,clay county
10.5,"31,118",ky,clinton county
7.4,"43,624",ky,crittenden county
10.7,"33,541",ky,cumberland county
6.9,"51,441",ky,daviess county
10.0,"43,151",ky,edmonson county
14.5,"35,446",ky,elliott county
9.7,"35,701",ky,estill county
5.8,"55,358",ky,fayette county
9.5,"42,571",ky,fleming county
13.3,"33,218",ky,floyd county
6.6,"53,134",ky,franklin county
10.8,"32,355",ky,fulton county
9.3,"49,060",ky,gallatin county
8.2,"51,203",ky,garrard county
8.3,"53,965",ky,grant county
8.5,"46,785",ky,graves county
10.3,"40,780",ky,grayson county
8.3,"36,782",ky,green county
10.2,"49,457",ky,greenup county
7.2,"56,769",ky,hancock county
7.7,"52,278",ky,hardin county
18.1,"29,521",ky,harlan county
7.6,"51,709",ky,harrison county
7.9,"37,038",ky,hart county
7.5,"51,161",ky,henderson county
7.2,"53,405",ky,henry county
7.1,"44,290",ky,hickman county
7.9,"45,512",ky,hopkins county
11.6,"35,317",ky,jackson county
7.5,"55,860",ky,jefferson county
6.5,"59,443",ky,jessamine county
11.0,"39,381",ky,johnson county
7.0,"64,644",ky,kenton county
15.4,"32,228",ky,knott county
13.0,"30,742",ky,knox county
8.2,"45,458",ky,larue county
9.7,"41,425",ky,laurel county
11.2,"36,667",ky,lawrence county
12.5,"29,124",ky,lee county
17.6,"31,921",ky,leslie county
16.7,"32,321",ky,letcher county
12.1,"35,751",ky,lewis county
10.7,"42,190",ky,lincoln county
9.9,"48,182",ky,livingston county
7.1,"46,742",ky,logan county
8.2,"48,395",ky,lyon county
7.9,"48,950",ky,mccracken county
13.1,"30,029",ky,mccreary county
7.7,"48,080",ky,mclean county
6.6,"51,897",ky,madison county
17.6,"30,950",ky,magoffin county
8.2,"45,661",ky,marion county
8.1,"52,388",ky,marshall county
9.8,"28,925",ky,martin county
10.0,"41,807",ky,mason county
9.0,"57,613",ky,meade county
12.1,"34,002",ky,menifee county
7.9,"53,921",ky,mercer county
7.8,"35,906",ky,metcalfe county
7.1,"35,596",ky,monroe county
8.5,"46,629",ky,montgomery county
10.6,"35,848",ky,morgan county
9.4,"43,722",ky,muhlenberg county
7.5,"55,602",ky,nelson county
8.6,"41,428",ky,nicholas county
9.3,"44,751",ky,ohio county
5.7,"102,136",ky,oldham county
6.3,"48,998",ky,owen county
12.6,"26,278",ky,owsley county
8.4,"54,583",ky,pendleton county
13.9,"33,108",ky,perry county
11.9,"37,124",ky,pike county
10.8,"37,776",ky,powell county
9.2,"41,541",ky,pulaski county
11.0,"45,146",ky,robertson county
9.3,"37,732",ky,rockcastle county
8.3,"41,196",ky,rowan county
11.6,"34,648",ky,russell county
6.1,"73,500",ky,scott county
6.1,"66,056",ky,shelby county
7.5,"51,769",ky,simpson county
6.4,"85,899",ky,spencer county
9.4,"45,429",ky,taylor county
7.4,"51,027",ky,todd county
9.0,"49,767",ky,trigg county
8.3,"51,674",ky,trimble county
7.7,"47,067",ky,union county
6.9,"53,478",ky,warren county
6.9,"50,246",ky,washington county
11.9,"33,701",ky,wayne county
7.1,"47,132",ky,webster county
10.6,"36,863",ky,whitley county
14.2,"30,144",ky,wolfe county
5.3,"66,164",ky,woodford county
6.7,"48,021",la,louisiana
6.0,"40,484",la,acadia parish
7.5,"44,395",la,allen parish
5.6,"77,758",la,ascension parish
8.3,"48,120",la,assumption parish
7.5,"37,731",la,avoyelles parish
7.4,"57,005",la,beauregard parish
8.7,"34,047",la,bienville parish
6.0,"56,754",la,bossier parish
7.9,"40,467",la,caddo parish
6.5,"50,531",la,calcasieu parish
8.2,"40,842",la,caldwell parish
5.3,"57,299",la,cameron parish
8.5,"35,812",la,catahoula parish
7.5,"33,659",la,claiborne parish
8.5,"35,840",la,concordia parish
8.8,"44,457",la,de soto parish
6.2,"52,945",la,east baton rouge parish
16.9,"27,714",la,east carroll parish
6.9,"45,174",la,east feliciana parish
6.8,"34,113",la,evangeline parish
10.1,"34,446",la,franklin parish
7.3,"43,502",la,grant parish
6.5,"42,909",la,iberia parish
8.3,"47,917",la,iberville parish
6.5,"40,828",la,jackson parish
6.3,"50,871",la,jefferson parish
6.2,"44,492",la,jefferson davis parish
4.9,"57,821",la,lafayette parish
4.9,"52,651",la,lafourche parish
5.0,"45,742",la,lasalle parish
7.8,"36,525",la,lincoln parish
5.8,"63,088",la,livingston parish
11.0,"28,452",la,madison parish
12.4,"34,023",la,morehouse parish
8.3,"36,298",la,natchitoches parish
7.3,"38,855",la,orleans parish
7.2,"44,371",la,ouachita parish
5.7,"58,643",la,plaquemines parish
7.6,"46,603",la,pointe coupee parish
6.9,"48,116",la,rapides parish
7.5,"36,865",la,red river parish
9.6,"35,103",la,richland parish
6.8,"36,423",la,sabine parish
7.4,"43,983",la,st. bernard parish
6.3,"67,585",la,st. charles parish
11.3,"38,699",la,st. helena parish
9.3,"53,903",la,st. james parish
8.7,"50,830",la,st. john the baptist parish
7.8,"36,624",la,st. landry parish
5.9,"46,229",la,st. martin parish
6.6,"39,764",la,st. mary parish
5.7,"67,054",la,st. tammany parish
8.0,"47,128",la,tangipahoa parish
9.4,"28,962",la,tensas parish
5.0,"51,665",la,terrebonne parish
7.8,"43,584",la,union parish
5.6,"48,263",la,vermilion parish
8.8,"47,664",la,vernon parish
8.4,"36,850",la,washington parish
9.6,"35,070",la,webster parish
6.1,"58,205",la,west baton rouge parish
12.7,"39,332",la,west carroll parish
5.9,"60,296",la,west feliciana parish
8.2,"40,133",la,winn parish
6.6,"55,579",me,maine
6.7,"49,935",me,androscoggin county
8.6,"39,450",me,aroostook county
5.3,"71,586",me,cumberland county
7.7,"49,561",me,franklin county
7.9,"52,148",me,hancock county
6.2,"52,154",me,kennebec county
5.9,"56,678",me,knox county
6.8,"56,211",me,lincoln county
8.3,"44,243",me,oxford county
6.8,"47,840",me,penobscot county
8.8,"40,066",me,piscataquis county
5.6,"65,969",me,sagadahoc county
9.2,"43,755",me,somerset county
7.2,"49,482",me,waldo county
9.3,"39,522",me,washington county
6.3,"65,984",me,york county
6.6,"83,076",md,maryland
8.5,"43,535",md,allegany county
5.7,"97,051",md,anne arundel county
6.9,"75,836",md,baltimore county
5.9,"106,270",md,calvert county
6.9,"56,627",md,caroline county
5.5,"95,956",md,carroll county
7.7,"72,739",md,cecil county
6.5,"92,616",md,charles county
9.8,"48,682",md,dorchester county
5.7,"95,196",md,frederick county
8.1,"49,147",md,garrett county
6.5,"87,959",md,harford county
4.8,"116,719",md,howard county
7.2,"55,514",md,kent county
4.9,"107,758",md,montgomery county
6.9,"82,445",md,prince george's county
5.8,"93,751",md,queen anne's county
6.0,"89,964",md,st. mary's county
10.7,"42,098",md,somerset county
6.4,"64,245",md,talbot county
7.3,"62,556",md,washington county
8.7,"54,313",md,wicomico county
12.6,"59,266",md,worcester county
9.7,"50,501",md,baltimore city
6.7,"79,817",ma,massachusetts
8.4,"69,001",ma,barnstable county
7.4,"58,375",ma,berkshire county
8.7,"66,005",ma,bristol county
9.1,"70,224",ma,dukes county
7.0,"76,373",ma,essex county
6.2,"58,992",ma,franklin county
8.7,"52,682",ma,hampden county
6.1,"74,456",ma,hampshire county
5.5,"100,374",ma,middlesex county
7.3,"97,525",ma,nantucket county/town
5.8,"100,184",ma,norfolk county
7.0,"89,678",ma,plymouth county
6.2,"68,743",ma,suffolk county
7.2,"71,767",ma,worcester county
8.8,"56,640",mi,michigan
13.3,"39,862",mi,alcona county
11.7,"47,441",mi,alger county
6.7,"62,247",mi,allegan county
9.7,"42,792",mi,alpena county
11.4,"56,456",mi,antrim county
13.0,"42,540",mi,arenac county
14.5,"43,435",mi,baraga county
6.4,"64,121",mi,barry county
8.7,"50,576",mi,bay county
10.3,"51,905",mi,benzie county
8.7,"51,509",mi,berrien county
8.4,"50,477",mi,branch county
7.9,"48,413",mi,calhoun county
8.2,"55,978",mi,cass county
10.7,"54,491",mi,charlevoix county
11.5,"48,589",mi,cheboygan county
10.5,"47,380",mi,chippewa county
11.7,"39,394",mi,clare county
6.0,"70,967",mi,clinton county
11.4,"46,930",mi,crawford county
10.3,"49,292",mi,delta county
8.3,"52,348",mi,dickinson county
6.7,"66,716",mi,eaton county
11.8,"58,891",mi,emmet county
9.7,"48,370",mi,genesee county
11.7,"44,635",mi,gladwin county
10.8,"39,934",mi,gogebic county
7.6,"64,591",mi,grand traverse county
8.9,"48,988",mi,gratiot county
8.9,"50,388",mi,hillsdale county
8.9,"42,282",mi,houghton county
8.4,"45,817",mi,huron county
7.7,"52,837",mi,ingham county
8.0,"61,667",mi,ionia county
11.4,"41,256",mi,iosco county
10.2,"40,959",mi,iron county
7.2,"47,056",mi,isabella county
8.3,"52,047",mi,jackson county
6.9,"55,881",mi,kalamazoo county
11.2,"46,068",mi,kalkaska county
6.2,"61,675",mi,kent county
13.6,"51,641",mi,keweenaw county
13.3,"36,044",mi,lake county
11.4,"65,209",mi,lapeer county
7.7,"67,349",mi,leelanau county
7.8,"55,762",mi,lenawee county
7.4,"84,048",mi,livingston county
10.3,"43,196",mi,luce county
12.2,"46,645",mi,mackinac county
9.5,"62,191",mi,macomb county
10.6,"47,401",mi,manistee county
8.2,"54,093",mi,marquette county
9.2,"51,083",mi,mason county
10.0,"45,804",mi,mecosta county
7.8,"46,486",mi,menominee county
7.7,"58,057",mi,midland county
9.2,"48,413",mi,missaukee county
7.4,"62,522",mi,monroe county
9.6,"50,396",mi,montcalm county
16.0,"40,650",mi,montmorency county
9.9,"49,960",mi,muskegon county
8.9,"48,860",mi,newaygo county
7.8,"80,319",mi,oakland county
12.4,"50,374",mi,oceana county
11.8,"41,201",mi,ogemaw county
13.8,"40,798",mi,ontonagon county
10.0,"45,607",mi,osceola county
15.6,"38,927",mi,oscoda county
10.4,"51,292",mi,otsego county
6.1,"70,420",mi,ottawa county
14.7,"45,502",mi,presque isle county
13.9,"38,613",mi,roscommon county
9.0,"48,805",mi,saginaw county
11.5,"56,557",mi,st. clair county
7.8,"52,689",mi,st. joseph county
10.5,"46,184",mi,sanilac county
12.8,"44,887",mi,schoolcraft county
9.4,"54,149",mi,shiawassee county
10.5,"51,113",mi,tuscola county
10.1,"57,363",mi,van buren county
5.8,"72,267",mi,washtenaw county
11.5,"46,440",mi,wayne county
11.1,"46,396",mi,wexford county
5.0,"70,295",mn,minnesota
7.5,"44,016",mn,aitkin county
5.0,"82,284",mn,anoka county
5.5,"59,440",mn,becker county
6.2,"47,073",mn,beltrami county
5.9,"61,341",mn,benton county
5.4,"51,058",mn,big stone county
4.2,"58,132",mn,blue earth county
5.2,"60,626",mn,brown county
6.0,"60,412",mn,carlton county
4.3,"104,248",mn,carver county
8.2,"48,651",mn,cass county
5.1,"53,540",mn,chippewa county
5.6,"82,814",mn,chisago county
4.3,"65,914",mn,clay county
10.6,"51,475",mn,clearwater county
5.8,"54,465",mn,cook county
5.8,"51,788",mn,cottonwood county
6.9,"53,481",mn,crow wing county
4.5,"86,403",mn,dakota county
4.7,"75,955",mn,dodge county
4.4,"60,979",mn,douglas county
5.4,"52,560",mn,faribault county
5.0,"58,761",mn,fillmore county
5.0,"52,010",mn,freeborn county
4.7,"67,039",mn,goodhue county
5.7,"54,917",mn,grant county
4.6,"76,067",mn,hennepin county
5.0,"59,613",mn,houston county
7.2,"55,687",mn,hubbard county
6.0,"73,468",mn,isanti county
7.7,"53,143",mn,itasca county
4.1,"57,786",mn,jackson county
8.1,"56,950",mn,kanabec county
4.8,"60,579",mn,kandiyohi county
6.0,"54,438",mn,kittson county
8.3,"46,281",mn,koochiching county
5.6,"52,445",mn,lac qui parle county
6.2,"61,015",mn,lake county
5.6,"52,058",mn,lake of the woods county
6.1,"67,269",mn,le sueur county
4.6,"51,305",mn,lincoln county
4.1,"57,690",mn,lyon county
5.6,"61,959",mn,mcleod county
5.8,"43,162",mn,mahnomen county
7.6,"58,105",mn,marshall county
5.3,"50,821",mn,martin county
5.5,"66,557",mn,meeker county
7.5,"53,289",mn,mille lacs county
6.7,"57,471",mn,morrison county
4.5,"53,387",mn,mower county
5.3,"59,938",mn,murray county
3.7,"66,209",mn,nicollet county
4.0,"55,766",mn,nobles county
5.7,"48,799",mn,norman county
4.0,"76,001",mn,olmsted county
5.3,"53,778",mn,otter tail county
6.3,"57,494",mn,pennington county
6.9,"50,387",mn,pine county
4.6,"55,378",mn,pipestone county
5.4,"60,180",mn,polk county
4.3,"60,975",mn,pope county
4.9,"62,937",mn,ramsey county
6.7,"54,412",mn,red lake county
5.5,"56,760",mn,redwood county
6.5,"59,787",mn,renville county
4.9,"67,024",mn,rice county
3.2,"63,503",mn,rock county
4.4,"60,239",mn,roseau county
6.1,"53,833",mn,st. louis county
4.4,"101,427",mn,scott county
5.3,"81,850",mn,sherburne county
5.5,"66,209",mn,sibley county
4.9,"60,843",mn,stearns county
4.6,"65,323",mn,steele county
3.8,"61,929",mn,stevens county
5.8,"51,552",mn,swift county
5.3,"58,113",mn,todd county
5.1,"49,773",mn,traverse county
4.6,"63,633",mn,wabasha county
7.0,"46,312",mn,wadena county
5.5,"58,335",mn,waseca county
4.4,"95,840",mn,washington county
5.3,"51,962",mn,watonwan county
4.2,"61,387",mn,wilkin county
4.4,"56,076",mn,winona county
5.0,"87,377",mn,wright county
4.9,"56,528",mn,yellow medicine county
8.5,"44,740",ms,mississippi
9.3,"33,392",ms,adams county
7.8,"40,010",ms,alcorn county
9.1,"38,092",ms,amite county
9.4,"36,761",ms,attala county
10.5,"35,184",ms,benton county
10.7,"33,116",ms,bolivar county
8.4,"39,176",ms,calhoun county
10.6,"42,588",ms,carroll county
10.7,"37,429",ms,chickasaw county
8.5,"38,479",ms,choctaw county
17.0,"29,631",ms,claiborne county
10.0,"41,495",ms,clarke county
15.4,"38,121",ms,clay county
12.9,"29,380",ms,coahoma county
10.5,"38,664",ms,copiah county
7.9,"36,083",ms,covington county
5.9,"68,126",ms,desoto county
8.4,"39,061",ms,forrest county
9.2,"39,508",ms,franklin county
9.4,"47,246",ms,george county
10.2,"42,022",ms,greene county
8.8,"39,633",ms,grenada county
7.8,"49,843",ms,hancock county
7.5,"45,355",ms,harrison county
8.5,"44,776",ms,hinds county
16.7,"26,449",ms,holmes county
17.2,"28,542",ms,humphreys county
20.4,"26,936",ms,issaquena county
8.0,"45,720",ms,itawamba county
8.9,"51,771",ms,jackson county
9.9,"36,987",ms,jasper county
19.2,"28,024",ms,jefferson county
12.6,"31,739",ms,jefferson davis county
7.1,"42,435",ms,jones county
12.9,"33,437",ms,kemper county
7.1,"49,381",ms,lafayette county
5.9,"58,377",ms,lamar county
8.4,"40,077",ms,lauderdale county
9.2,"40,510",ms,lawrence county
8.5,"37,212",ms,leake county
8.0,"51,088",ms,lee county
14.3,"29,244",ms,leflore county
7.7,"43,478",ms,lincoln county
9.3,"44,348",ms,lowndes county
5.8,"75,740",ms,madison county
9.4,"36,408",ms,marion county
10.1,"40,285",ms,marshall county
11.8,"44,681",ms,monroe county
11.3,"36,311",ms,montgomery county
7.8,"36,236",ms,neshoba county
7.5,"40,792",ms,newton county
13.4,"32,167",ms,noxubee county
8.0,"39,130",ms,oktibbeha county
11.9,"39,198",ms,panola county
7.4,"45,268",ms,pearl river county
10.4,"39,687",ms,perry county
9.8,"33,983",ms,pike county
7.4,"44,297",ms,pontotoc county
8.4,"41,281",ms,prentiss county
14.8,"27,767",ms,quitman county
5.2,"66,296",ms,rankin county
6.6,"38,034",ms,scott county
13.0,"28,887",ms,sharkey county
7.4,"38,173",ms,simpson county
6.7,"46,764",ms,smith county
9.5,"44,622",ms,stone county
13.9,"31,329",ms,sunflower county
11.1,"32,692",ms,tallahatchie county
8.9,"48,082",ms,tate county
9.8,"39,833",ms,tippah county
9.2,"41,455",ms,tishomingo county
12.4,"33,143",ms,tunica county
7.1,"46,600",ms,union county
10.7,"33,566",ms,walthall county
9.0,"46,049",ms,warren county
14.5,"33,991",ms,washington county
10.7,"37,401",ms,wayne county
9.5,"43,349",ms,webster county
12.4,"29,900",ms,wilkinson county
11.0,"39,498",ms,winston county
10.0,"39,551",ms,yalobusha county
11.0,"33,111",ms,yazoo county
6.7,"54,412",mo,missouri
6.9,"40,395",mo,adair county
5.4,"57,459",mo,andrew county
5.8,"49,122",mo,atchison county
6.3,"44,340",mo,audrain county
6.8,"42,457",mo,barry county
7.2,"41,583",mo,barton county
7.6,"45,955",mo,bates county
8.5,"40,025",mo,benton county
7.1,"44,233",mo,bollinger county
4.5,"55,136",mo,boone county
6.2,"52,506",mo,buchanan county
7.9,"38,067",mo,butler county
6.7,"47,591",mo,caldwell county
6.0,"53,970",mo,callaway county
9.2,"48,580",mo,camden county
5.8,"51,962",mo,cape girardeau county
7.3,"47,049",mo,carroll county
9.6,"34,134",mo,carter county
6.3,"71,374",mo,cass county
7.0,"37,288",mo,cedar county
6.3,"48,421",mo,chariton county
5.5,"58,057",mo,christian county
7.9,"46,832",mo,clark county
6.1,"68,943",mo,clay county
6.6,"58,641",mo,clinton county
5.2,"62,817",mo,cole county
6.9,"52,513",mo,cooper county
8.6,"42,774",mo,crawford county
6.8,"41,381",mo,dade county
8.6,"38,765",mo,dallas county
6.2,"51,255",mo,daviess county
6.0,"48,920",mo,dekalb county
7.5,"39,392",mo,dent county
9.4,"36,762",mo,douglas county
9.9,"37,331",mo,dunklin county
7.2,"58,738",mo,franklin county
6.3,"52,282",mo,gasconade county
5.3,"43,731",mo,gentry county
5.5,"44,799",mo,greene county
5.9,"40,315",mo,grundy county
7.3,"40,639",mo,harrison county
7.1,"44,978",mo,henry county
9.9,"35,025",mo,hickory county
5.4,"47,191",mo,holt county
6.5,"45,767",mo,howard county
7.8,"36,762",mo,howell county
10.6,"37,755",mo,iron county
7.6,"55,864",mo,jackson county
5.8,"46,596",mo,jasper county
6.8,"65,150",mo,jefferson county
7.2,"52,151",mo,johnson county
5.5,"39,309",mo,knox county
9.6,"44,562",mo,laclede county
6.4,"53,389",mo,lafayette county
6.6,"45,074",mo,lawrence county
5.6,"48,179",mo,lewis county
7.6,"62,238",mo,lincoln county
8.8,"44,992",mo,linn county
5.6,"48,749",mo,livingston county
6.4,"40,204",mo,mcdonald county
6.5,"45,440",mo,macon county
7.6,"40,191",mo,madison county
6.6,"46,371",mo,maries county
6.0,"49,393",mo,marion county
5.5,"46,014",mo,mercer county
8.7,"47,225",mo,miller county
7.8,"34,735",mo,mississippi county
6.4,"57,047",mo,moniteau county
7.3,"46,216",mo,monroe county
7.2,"48,951",mo,montgomery county
9.5,"45,276",mo,morgan county
7.8,"38,093",mo,new madrid county
6.0,"49,220",mo,newton county
6.5,"46,698",mo,nodaway county
8.0,"32,720",mo,oregon county
5.0,"58,855",mo,osage county
10.3,"34,367",mo,ozark county
10.3,"31,831",mo,pemiscot county
5.4,"53,871",mo,perry county
6.6,"45,254",mo,pettis county
7.0,"43,079",mo,phelps county
6.5,"43,591",mo,pike county
5.7,"82,567",mo,platte county
7.1,"45,336",mo,polk county
7.9,"52,532",mo,pulaski county
5.9,"40,866",mo,putnam county
5.8,"57,549",mo,ralls county
8.2,"44,975",mo,randolph county
7.7,"58,693",mo,ray county
9.4,"36,592",mo,reynolds county
9.3,"32,802",mo,ripley county
5.3,"82,048",mo,st. charles county
7.8,"37,013",mo,st. clair county
7.2,"59,043",mo,ste. genevieve county
8.5,"45,584",mo,st. francois county
6.2,"66,992",mo,st. louis county
6.0,"43,776",mo,saline county
7.8,"39,463",mo,schuyler county
5.3,"42,053",mo,scotland county
7.1,"44,261",mo,scott county
9.5,"32,715",mo,shannon county
5.6,"44,564",mo,shelby county
8.8,"40,808",mo,stoddard county
10.5,"46,026",mo,stone county
6.5,"41,978",mo,sullivan county
10.7,"40,887",mo,taney county
8.2,"34,824",mo,texas county
5.9,"42,552",mo,vernon county
6.8,"62,056",mo,warren county
9.7,"38,591",mo,washington county
8.2,"33,703",mo,wayne county
6.7,"51,141",mo,webster county
4.1,"43,119",mo,worth county
8.4,"35,293",mo,wright county
8.4,"43,263",mo,st. louis city
5.4,"55,248",mt,montana
4.7,"47,674",mt,beaverhead county
14.1,"40,425",mt,big horn county
6.2,"39,237",mt,blaine county
6.4,"52,840",mt,broadwater county
4.5,"53,661",mt,carbon county
3.1,"47,985",mt,carter county
5.1,"50,054",mt,cascade county
3.7,"44,645",mt,chouteau county
3.4,"50,525",mt,custer county
3.2,"44,659",mt,daniels county
3.2,"56,167",mt,dawson county
4.9,"45,641",mt,deer lodge county
2.0,"62,029",mt,fallon county
4.9,"49,147",mt,fergus county
7.7,"54,382",mt,flathead county
4.1,"67,569",mt,gallatin county
3.2,"44,580",mt,garfield county
10.1,"37,719",mt,glacier county
5.0,"38,782",mt,golden valley county
7.6,"48,410",mt,granite county
6.6,"50,136",mt,hill county
